itemid,category,datelisted,description,name,merchantid,price
W1UN9,Housing,2022-06-13,,Housing 525118256,G6UPG,1254.63
TW1LD,Housing,2022-02-24,,Housing 967191756,8K3RE,1209.81
DKKV7,Housing,2022-02-06,,Housing 617197180,R2YNB,857.98
QJ9A3,Housing,2022-04-08,,Housing 569184281,1149O,31.51
Q9UXC,Housing,2022-05-09,"Unbox the package to find a soft, plush, sparkly doll!",Housing 831114098,TH5WQ,1063.37
PDTL7,Housing,2022-05-18,,Housing 70820942,SB3L6,1301.85
JG5JZ,Housing,2022-06-21,for everyday use,Housing 585149584,AXYFV,42.4
AVUUC,Housing,2022-04-12,For everyday office use,Housing 78153811,GPYLB,1763.24
H7MCZ,Housing,2022-05-10,,Housing 91864287,0BMS5,1144.77
G8TKY,Housing,2022-02-25,100% Synthetic,Housing 54365170,6IPKS,1818.79
N8G08,Housing,2022-08-01,"Daily use helps to clean the skin, effectively eliminating acne and blackhead",Housing 88022122,0V5C9,891.13
FN7WM,Housing,2022-01-13,,Housing 9897486,JWXSS,734.37
IN5NP,Housing,2022-02-01,for everyday use,Housing 53574502,05M7F,1892.8
JWTLV,Housing,2022-07-22,,Housing 905192427,4Z5VC,70.96
6JFVP,Housing,2022-03-25,,Housing 67290475,PVB4C,722.72
Z1KAJ,Housing,2022-05-19,,Housing 710197721,AWFGJ,1688.41
EKH68,Housing,2022-05-06,100% Synthetic,Housing 812139875,1JA6J,1160.84
II4C7,Housing,2022-10-01,For your lovely pet,Housing 903105872,RSBL9,652.13
MQUQQ,Housing,2022-05-25,"Unbox the package to find a soft, plush, sparkly doll!",Housing 76356979,078O0,351.56
Q6S50,Housing,2022-03-06,One of a kind stainless steel,Housing 687193994,PV7VX,158.9
S6HXW,Housing,2022-05-24,"Unbox the package to find a soft, plush, sparkly doll!",Housing 882123634,NUPCW,801.6
63C4G,Housing,2022-07-31,for everyday use,Housing 669192836,QTM9A,1143.9
DI9MA,Housing,2022-04-11,Imported,Housing 60464898,F1I7H,608.3
YJOSM,Housing,2022-09-09,"Daily use helps to clean the skin, effectively eliminating acne and blackhead",Housing 70261153,XWXLZ,1852.16
CVK3Y,Housing,2022-03-07,,Housing 577148115,MK3V5,1464.51
G71SV,Housing,2022-10-26,One of a kind stainless steel,Housing 712116937,6ZG2P,1148.93
HJZ38,Housing,2022-09-20,For everyday office use,Housing 71425651,N169E,1073.99
FCJU5,Housing,2022-02-15,For your lovely pet,Housing 812163580,7CIPO,1624.65
OWG9N,Housing,2022-07-03,100% Synthetic,Housing 75265393,OZBPO,499.18
M69W2,Housing,2022-05-01,,Housing 75520599,0V5C9,1475.71
YBPFT,Housing,2022-03-01,For your lovely pet,Housing 85489385,GPYLB,85.64
Y875G,Housing,2022-10-15,For everyday office use,Housing 860172109,JUDOH,67.25
I6SAJ,Housing,2022-02-22,Set of 12,Housing 99441242,YRL14,1512.92
6K6I7,Housing,2022-08-25,Set of 10,Housing 806176086,3KCY4,1199.19
INKF4,Housing,2022-08-19,,Housing 8858911,PB6Z6,1806.85
7FFU2,Housing,2022-03-04,"(Display and Graphics) 17.3 diagonal, FHD ",Housing 795173410,19J34,1322.76
6CYXV,Housing,2022-06-24,,Housing 58069984,1QXIF,754.1
WCXLV,Housing,2022-06-10,,Housing 60711453,Y26NY,1437.36
U1J61,Housing,2022-08-09,,Housing 644181102,08WHX,1684.63
2T904,Housing,2022-01-25,,Housing 591180082,YRL14,1963.4
NS9ZE,Housing,2022-01-01,,Housing 620116331,G2W79,1580.2
GY0E9,Housing,2022-01-20,Suitable for all skin types,Housing 99968343,CAFPE,967.67
RGR3Q,Housing,2022-10-06,for everyday use,Housing 960134027,426K8,1058.54
